truss,Cring,M1cell,topend,toprest,CableTruss,M1baffle,M1covers,M1Level,M2baffle,M2seg,platforms,floor,GIR,LGSS,M1off,M1on,Azimuth,Zenith,Enclosure,Windspeed
4.094144569541017,2.6908186668455603,2.635622195015351,4.008822801421086,5.112167924880981,4.030263597836097,2.0022372103234134,2.583267824398807,2.848591046884656,5.305764882997765,5.859789438625176,2.246818874080976,2.862820957372586,2.1806784864465394,2.8596430217127007,3.309976778398279,3.7337343723612526,az000,zen00,OS,2
2.584877060946698,2.4423662317792574,2.3821862352589767,3.1704022522668045,3.832333762794733,2.463069494835101,1.708630116030574,2.3384879775392426,2.4549946445822717,3.5156960287631858,4.266613620678584,2.2415006879319748,2.4364114918907482,1.972548622339964,2.6115883592764537,3.6211461236377556,4.250840705881516,az045,zen00,OS,2
3.0546060175721843,2.3589863857477904,2.7777156714399656,3.1679662054628133,3.8794712246358394,2.945093548350036,2.0295454553961756,2.944149723102177,3.524546189715465,3.6933426122289577,4.240264583140612,2.3911148133426905,2.326944484695792,1.9531167788356543,3.080062701781591,3.2829094873927533,3.666954742697378,az090,zen00,OS,2
2.678506313257184,2.1612419717808566,2.645324283659458,3.2450173224012056,3.624146767328183,3.288322847895732,1.9868624236186345,2.7533580091974583,2.972612368668119,2.8630125069818266,4.084300933023294,2.223998071938753,2.3492897154639163,1.5013289834360282,3.261563995887836,4.038183860734105,4.9165053106695416,az135,zen00,OS,2
2.35709948346143,2.439161369656523,2.7139159881075225,2.5553404247909786,2.8441437877515954,2.4371137321106313,1.6853897592624028,2.6426313952817244,2.7145396340092023,2.6526675133334354,2.90802622076869,2.393675671711564,2.182000859320164,1.531733584145705,3.0688011161287627,3.748881186649203,4.168023423542579,az180,zen00,OS,2
10.403801072597505,5.757827809776579,6.052178217921938,9.781308953319277,12.508875950132097,10.436614239215851,5.316241956801287,6.632164411805104,6.708426462122373,13.174602009359083,13.854860898869378,4.628503744840622,6.2707854316915785,4.835584164517266,5.7654735992636,4.353123428361967,4.7565828401062005,az000,zen00,OS,7
6.50638985977854,4.903906500509807,5.54117341535432,6.431426377722195,8.153217844656536,6.030031401876893,4.432717326645606,5.986600890985769,5.694171608635357,7.819098778817803,8.491906467608043,4.542711290342467,4.730739700317383,4.299324653455189,4.697388496211597,5.206426535414798,5.906766668481486,az045,zen00,OS,7
7.650929032036236,5.075161020755768,6.7318276324272155,6.884154750381197,8.489257942540306,7.071904575892857,5.269574406879289,8.847498023826862,8.977856236832482,8.723519452612114,8.81381174847058,5.107734790972301,4.806870131015778,4.2983067613158905,6.460915098326547,4.859715092756902,5.255824025622244,az090,zen00,OS,7
7.405147157100695,4.576722410014697,6.34332375563894,6.427232223715101,7.682486456496375,9.791756522231868,4.770997244630541,7.6452961105076165,7.290875650644303,6.936266503729757,7.958733000448772,4.657380900740623,4.95909725860187,3.247065425821713,6.827815260955266,6.157054176658392,6.874968999483755,az135,zen00,OS,7
6.056978102657411,4.8182731886420935,6.234326901538031,4.6181215599434715,5.204884552274431,6.133881587801235,4.133441391629832,7.46023674465024,6.616198512469019,5.37482690455259,5.157648582526615,4.888629167897361,4.2336546226399285,3.2182025301967347,6.019686415706362,5.154236181518861,5.531108966197286,az180,zen00,OS,7
5.160212769546544,3.452052854352527,4.5995838121440675,3.5458020923203892,6.251827185418871,5.25880667077512,4.883711926945382,3.7828063182823994,5.841168777181043,5.815242678504011,4.849828369379043,3.00642497427596,3.1570175735818014,2.8835156592991615,4.731198197219107,3.981142432359348,4.39468186001759,az000,zen00,CD,12
5.350347183163239,3.9699098434713154,4.746715688599481,3.325882901006275,4.735513880067401,6.224170365886912,5.2372330771709485,5.200983193501283,5.746490402963427,4.53911258081934,4.396197571873665,3.6814004869593515,4.082869253940053,3.3842976913717058,5.409025257825851,4.390445136297555,4.735466874372004,az045,zen00,CD,12
3.8634653267773746,5.579552503479851,5.042944118367301,4.275582480046484,5.213445066200363,3.612616451009205,3.441722360495064,4.712448574108123,4.726408791018857,3.980105031750456,5.1410613805982806,5.167119562321239,5.147065016534594,4.4675050622887085,4.798153269264433,5.804235266673896,6.35106254914403,az090,zen00,CD,12
3.564466385426365,3.7096718839671876,3.460270119825999,4.374139388336076,5.628982765899764,3.5384450818423314,3.0676954997645485,3.914195034058076,3.5652522192663616,4.022737536243551,5.228965823584133,3.2112355857491495,3.6851452499892976,2.6759713631603455,4.022736236678229,5.4026211943262155,5.993242106242312,az135,zen00,CD,12
5.179765638440188,3.781967562450303,4.4625270671712025,5.012936764280001,5.806870487716463,4.569198524662746,5.585844444884194,5.167632198817969,5.3664218149715,4.127187968528076,5.49068406062656,3.3269876428577634,3.840738820168707,2.6430194592873257,7.269851552353965,11.538311351762877,13.047635626249843,az180,zen00,CD,12
7.915547894107075,3.917228997190793,5.948974076218075,3.470144111911456,9.44429815194342,8.184625052239731,10.827903529785068,3.5355926755483575,8.309757609579298,10.148071120718354,5.484388281186422,3.365178139573998,3.6237321031490963,3.4317319063478045,5.7162263327969445,3.2189311369317695,3.4016652490945907,az000,zen00,CD,17
